A Min Tjoa,TU Wien,International Conference on Data Engineering,1.0,0.33333,1984,ICDE,A*,Artificial Intelligence
A Min Tjoa,TU Wien,International Conference on Data Engineering,1.0,0.2,1996,ICDE,A*,Artificial Intelligence
A. Akbariazirani,IUST,IEEE,1.0,0.16667,2017,ISMAR,A*,Interdisciplinary Subjects
A. Aldo Faisal,Imperial College London,Advances in Neural Information Processing Systems (was NIPS),1.0,0.14286,2018,NeurIPS,A*,Artificial Intelligence
A. Aldo Faisal,Imperial College London,IEEE,1.0,0.33333,2019,ISMAR,A*,Interdisciplinary Subjects
A. Aldo Faisal,Imperial College London,IEEE,1.0,0.25,2020,ISMAR,A*,Interdisciplinary Subjects
A. Aldo Faisal,Imperial College London,IEEE International Conference on Robotics and Automation,1.0,0.33333,2016,ICRA,A*,Artificial Intelligence
A. Aldo Faisal,Imperial College London,IEEE International Conference on Robotics and Automation,1.0,0.33333,2019,ICRA,A*,Artificial Intelligence
A. Aldo Faisal,Imperial College London,International Conference on Human Factors in Computing Systems,1.0,0.25,2021,CHI,A*,Artificial Intelligence
A. Aldo Faisal,Imperial College London,National Conference of the American Association for Artificial Intelligence,1.0,0.5,2021,AAAI,A*,Artificial Intelligence
A. B. M. Alim Al Islam,BUET,International Conference on Human Factors in Computing Systems,1.0,0.33333,2017,CHI,A*,Artificial Intelligence
A. B. Siddique 0001,University of Kentucky,ACM International Conference on Knowledge Discovery and Data Mining,1.0,0.33333,2020,KDD,A*,Artificial Intelligence
A. B. Siddique 0001,University of Kentucky,ACM SIGIR Workshop on XML and Information Retrieval,1.0,0.2,2023,SIGIR,A*,Systems
A. B. Siddique 0001,University of Kentucky,International World Wide Web Conference,1.0,0.33333,2021,WWW,A*,Interdisciplinary Subjects
A. B. Siddique 0001,University of Kentucky,International World Wide Web Conference,1.0,0.33333,2023,WWW,A*,Interdisciplinary Subjects
A. Cüneyd Tantug,Istanbul Technical University,Association for Computational Linguistics,1.0,0.33333,2007,ACL,A*,Theory
A. David Marshall,Cardiff University,IEEE Conference on Computer Vision and Pattern Recognition,1.0,0.33333,2009,CVPR,A*,Artificial Intelligence
A. David Marshall,Cardiff University,IEEE Conference on Computer Vision and Pattern Recognition,1.0,0.33333,2011,CVPR,A*,Artificial Intelligence
A. David Marshall,Cardiff University,International Conference on Machine Learning,1.0,0.33333,2019,ICML,A*,Artificial Intelligence
A. David Marshall,Cardiff University,National Conference of the American Association for Artificial Intelligence,1.0,0.33333,2021,AAAI,A*,Artificial Intelligence
A. E. Eiben,VU Amsterdam,International Joint Conference on Artificial Intelligence,1.0,0.5,2007,IJCAI,A*,Artificial Intelligence
A. Jefferson Offutt,George Mason University,ACM-SIGPLAN Conference on Programming Language Design and Implementation,1.0,0.5,1987,PLDI,A*,Artificial Intelligence
A. Jefferson Offutt,George Mason University,International Conference on Software Engineering,1.0,0.33333,1993,ICSE,A*,Interdisciplinary Subjects
A. Jefferson Offutt,George Mason University,International Symposium on Software Testing and Analysis,1.0,0.33333,1993,ISSTA,A,Theory
A. Jefferson Offutt,George Mason University,International Symposium on Software Testing and Analysis,1.0,0.5,1996,ISSTA,A,Theory
A. P. Wim Böhm,Colorado State University,ACM International Conference on Supercomputing,1.0,0.5,1987,ICS,A,Interdisciplinary Subjects
A. P. Wim Böhm,Colorado State University,ACM International Symposium on Computer Architecture,1.0,0.33333,1992,ISCA,A*,Artificial Intelligence
A. P. Wim Böhm,Colorado State University,International Symposium on Microarchitecture,1.0,0.33333,1991,MICRO,A,Interdisciplinary Subjects
A. P. Wim Böhm,Colorado State University,International Symposium on Microarchitecture,1.0,0.25,1993,MICRO,A,Interdisciplinary Subjects
Alun D. Preece,Cardiff University,International Conference on Very Large Databases,1.0,0.2,2006,VLDB,A*,Interdisciplinary Subjects
Alun D. Preece,Cardiff University,National Conference of the American Association for Artificial Intelligence,1.0,0.2,1993,AAAI,A*,Artificial Intelligence
Alun D. Preece,Cardiff University,National Conference of the American Association for Artificial Intelligence,1.0,0.2,2020,AAAI,A*,Artificial Intelligence